[LOG] src/libparasheet/spreadsheet.c:62]:	Mem Alloc: 16
[LOG] src/libparasheet/spreadsheet.c:63]:	Mem Alloc: 32
[LOG] src/libparasheet/spreadsheet.c:80]:	Mem Free: (nil)
[LOG] src/libparasheet/spreadsheet.c:81]:	Mem Free: (nil)
[LOG] src/libparasheet/spreadsheet.c:28]:	Mem Realloc: (nil) 4104
[LOG] src/libparasheet/spreadsheet.c:29]:	Mem Realloc: (nil) 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
[LOG] src/util/util.c:384]:	Stack Alloc: 0x563772b1bdf0 8
[LOG] src/parasheet-editor/main.c:111]:	Mem Alloc: 8
